year,player,position,team,votes,source,accessed
2019,Lamar Jackson,QB,Baltimore Ravens,50,https://wtop.com/nfl/2020/02/ap-nfl-mvp-voting/,2020-09-30
2018,Patrick Mahomes,QB,Kansas City Chiefs,41,https://apnews.com/article/51a48f75a717914ba1c3813bf0723d0a,2020-09-30
2018,Drew Brees,QB,New Orleans Saints,9,https://apnews.com/article/51a48f75a717914ba1c3813bf0723d0a,2020-09-30
2017,Tom Brady,QB,New England Patriots,40,https://bleacherreport.com/articles/2757550-nfl-honors-2018-award-winners-voting-results-and-twitter-reaction,2020-09-30
2017,Todd Gurley,RB,Los Angeles Rams,8,https://bleacherreport.com/articles/2757550-nfl-honors-2018-award-winners-voting-results-and-twitter-reaction,2020-09-30
2017,Carson Wentz,QB,Philadelphia Eagles,2,https://bleacherreport.com/articles/2757550-nfl-honors-2018-award-winners-voting-results-and-twitter-reaction,2020-09-30
2016,Matt Ryan,QB,Atlanta Falcons,25,https://bleacherreport.com/articles/2691193-nfl-honors-2017-award-winners-voting-results-and-twitter-reaction,2020-09-30
2016,Tom Brady,QB,New England Patriots,10,https://bleacherreport.com/articles/2691193-nfl-honors-2017-award-winners-voting-results-and-twitter-reaction,2020-09-30
2016,Ezekiel Elliott,QB,Dallas Cowboys,6,https://bleacherreport.com/articles/2691193-nfl-honors-2017-award-winners-voting-results-and-twitter-reaction,2020-09-30
2016,Derek Carr,QB,Oakland Raiders,6,https://bleacherreport.com/articles/2691193-nfl-honors-2017-award-winners-voting-results-and-twitter-reaction,2020-09-30
2016,Aaron Rodgers,QB,Green Bay Packers,2,https://bleacherreport.com/articles/2691193-nfl-honors-2017-award-winners-voting-results-and-twitter-reaction,2020-09-30
2016,Dak Prescott,QB,Dallas Cowboys,1,https://bleacherreport.com/articles/2691193-nfl-honors-2017-award-winners-voting-results-and-twitter-reaction,2020-09-30
2015,Cam Newton,QB,Carolina Panthers,48,https://bleacherreport.com/articles/2614541-nfl-mvp-2015-16-award-winner-voting-results-and-twitter-reaction,2020-09-30
2015,Tom Brady,QB,New England Patriots,1,https://bleacherreport.com/articles/2614541-nfl-mvp-2015-16-award-winner-voting-results-and-twitter-reaction,2020-09-30
2015,Carson Palmer,QB,Arizona Cardinals,1,https://bleacherreport.com/articles/2614541-nfl-mvp-2015-16-award-winner-voting-results-and-twitter-reaction,2020-09-30
2014,Aaron Rodgers,QB,Green Bay Packers,31,http://www.espn.com/espn/wire/_/section/nfl/id/12260471,2020-09-30
2014,J.J. Watt,DE,Houston Texans,13,http://www.espn.com/espn/wire/_/section/nfl/id/12260471,2020-09-30
2014,Tony Romo,QB,Dallas Cowboys,2,http://www.espn.com/espn/wire/_/section/nfl/id/12260471,2020-09-30
2014,DeMarco Murray,RB,Dallas Cowboys,2,http://www.espn.com/espn/wire/_/section/nfl/id/12260471,2020-09-30
2014,Tom Brady,QB,New England Patriots,1,http://www.espn.com/espn/wire/_/section/nfl/id/12260471,2020-09-30
2014,Bobby Wagner,LB,Seattle Seahawks,1,http://www.espn.com/espn/wire/_/section/nfl/id/12260471,2020-09-30
